date,hedera,elrond,terra,hnt,decentraland,binance,wrapped,vechain,litecoin,bitcoin,tron,solana,avalanche,crypto_choice_avg,inflation_headlinese_avg,energy_consumption_avg
2021-10-19,0,0,42,0,0,22,11,22,0,50,3,3,3,-0.07368,-0.09174,0.16813000000000003
2021-10-20,0,0,63,0,0,0,0,0,3,79,0,5,3,-0.00292,-0.034775000000000014,0.15063000000000007
2021-10-21,21,0,21,0,0,32,0,43,3,57,0,8,0,0.091845,-0.03759000000000001,0.23452
2021-10-22,0,0,43,0,0,0,0,11,3,37,3,11,0,0.08148,0.165495,0.16654000000000002
2021-10-23,0,0,25,0,0,0,0,0,0,20,7,10,0,0.07637000000000001,-0.08818000000000001,0.042800000000000005
2021-10-24,0,23,46,0,0,0,0,12,0,27,0,9,0,0.004524999999999996,-0.06763000000000001,0.164685
2021-10-25,0,0,0,0,11,21,0,0,0,35,3,3,0,0.07575000000000001,-0.0005199999999999982,0.25144
2021-10-26,0,21,21,0,0,11,0,0,0,30,0,3,0,0.057530000000000005,0.150255,0.06362000000000001
2021-10-27,0,0,42,0,0,22,0,0,3,63,3,0,0,0.09416499999999998,0.03426,0.07232500000000001
2021-10-28,0,0,0,0,0,22,0,11,3,42,0,0,3,0.16843,0.026615,0.23803999999999997
2021-10-29,0,21,21,0,22,0,0,0,3,22,3,6,0,0.053369999999999994,0.041235,-0.03297999999999999
2021-10-30,0,0,48,0,100,50,0,12,0,22,3,0,0,0.04455,0.007830000000000021,-0.02158999999999999
2021-10-31,0,0,0,0,24,12,0,0,0,18,3,0,3,0.02152500000000001,-0.13791,-0.062490000000000004
2021-11-01,0,0,21,0,11,22,0,0,0,22,3,6,0,0.015089999999999998,0.001549999999999993,0.20238500000000004
2021-11-02,0,0,62,0,21,32,0,11,3,32,3,5,0,-0.07400500000000002,-0.023295000000000003,0.15484
2021-11-03,0,0,20,0,0,10,0,10,3,15,3,0,0,-0.005414999999999994,0.10884,0.13661
2021-11-04,21,0,43,0,33,22,0,11,3,20,0,11,0,-0.06909499999999999,0.03818,0.15435500000000002
2021-11-05,0,0,22,0,0,34,0,23,3,20,0,3,0,-0.006565000000000004,0.06393499999999999,0.22605
2021-11-06,0,0,0,0,0,12,0,25,0,25,6,6,0,0.069665,0.004570000000000009,0.070455
2021-11-07,0,0,0,0,0,12,0,12,0,22,3,6,0,0.038475,-0.06293500000000002,0.029675
2021-11-08,0,0,0,0,0,21,0,43,8,46,3,16,0,0.026549999999999997,0.032025,-0.037425
2021-11-09,0,0,21,0,11,0,0,11,11,51,0,11,0,-0.025535000000000002,0.04024,0.19807499999999995
2021-11-10,0,0,42,0,11,21,0,11,0,35,3,11,5,0.12768,-0.07731,0.32648
2021-11-11,0,0,21,0,0,32,0,11,3,24,0,3,0,0.05047999999999999,-0.05846500000000001,0.237345
2021-11-12,0,0,0,0,0,0,11,23,0,37,3,6,3,0.10661499999999997,0.009395,0.099
2021-11-13,25,0,25,0,13,0,0,25,0,45,0,3,0,-0.05399000000000002,-0.14445000000000002,-0.04080499999999999
2021-11-14,23,0,23,23,0,24,0,24,0,33,0,9,3,0.08439999999999999,-0.07647,0.048819999999999995
2021-11-15,0,0,62,0,21,43,0,11,0,43,8,0,0,-0.058630000000000015,0.08128,0.23117500000000005
