,Tweets,Subjectivity,Polarity,Analysis
0,Philippines 🇵🇭 is ranked 15th in the Global Crypto Adoption Index and we're excited to be working with the awesome… ,0.375,0.1875,Positive
1,"With strange pockets of mania in the market, crypto, NFTs, $LCID $RIVN and growth stocks increasingly hard to decip… ",0.3458333333333333,-0.17083333333333334,Negative
2, This is good project for crypto market,0.6000000000000001,0.7,Positive
3,"This a good &amp; promising project, their market work is very good, I hope the development of this project is getting… ",0.6266666666666668,0.6033333333333333,Positive
4,The Crypto Market GETTING CRAZY! (Bitcoin Crash Explained!) | Whales Buying *These* Altcoins! ,0.9,-1.0,Negative
5,"Our Marketing Token revolutionizes the way brands interact with their audience, which means new opportunities for b… ",0.45454545454545453,0.13636363636363635,Positive
6,@_felixnz _feed Lmfao pay off all my debts. Yeah 200k student loans.. fuck that noise. Ill make more mone… ,0.7000000000000001,-0.13333333333333333,Negative
7,"Just incase you guys were wondering how to get involved with the new USwapTicketGame, weve made it nice and easy f… ",0.7626262626262627,0.3898989898989899,Positive
8, Do you think there will be a big correction in gaming tokens in the bear market creating a brilliant… ,0.1,0.0,Neutral
9,"Quiet times in the crypto market allow you to think clearly and come up with a plan.

So do not forget to do that.",0.3583333333333333,0.05000000000000001,Positive
10,"Join REIMAGINE V11 for Day 1 of the 1 virtual crypto and blockchain conference!
On Nov. 18, REIMAGINE goes into t… ",0.0,0.0,Neutral
11," I love how they somehow try to justify this by saying things like, crypto is going to solve poverty..… ",0.6,0.5,Positive
12,@__davvvid Crypto is for the ppl! The stock market is rigged fam. Only 20% of money in the stock market is retail traders. Retail = Us.,1.0,0.0,Neutral
13,"with  it creates a more competitive, and better market overall service provided to the buye… ",0.3333333333333333,0.3333333333333333,Positive
14,"$BMTX - Market Cap Comparison

They have bank charter and high potential to offer crypto soon... yet they are worth… ",0.77,0.08,Positive
15,  I think the market learnt a lot from the last time he tweeted about crypto. Now the… ,0.06666666666666667,0.0,Neutral
16, You need to follow this new stealth launched utmost NFT P2E utility crypto $POKEMON SPACE token of… ,0.45454545454545453,0.13636363636363635,Positive
17,Been going through my last two years of trading journals... The common denominator for pretty much all my best shor… ,0.4133333333333333,0.22999999999999998,Positive
18,"Use money to make more money, don’t just use it all for spending.
.
.
Dm me now for more information on how to… ",0.5,0.5,Positive
19, Prior apex at around .28 in the short term. x10 easily possible given current market cap and market conditions,0.42500000000000004,0.0,Neutral
20,Market Wrap: Bitcoin Pullback Pauses as Traders Reduce Leverage coindesk bitcoin crypto ,0.0,0.0,Neutral
21,_crypto    _tin    … ,0.0,0.0,Neutral
22,  Q4. Many new projects make a good impression at first but are suddenly abandoned. H… ,0.47757575757575754,0.31727272727272726,Positive
23,_JUDii _borne  - - &gt; this  source before  they close free entry ! They give  quality crypt… ,0.8,0.5,Positive
24, _Contractor You must join this  private channel before  everyone start using it ! They give best crypt… ,0.3375,0.5,Positive
