,Tweets
0,"Latest bullish additions to my collection:
@divineanarchy
@galaxy_eggs
@ledgart_io
@thorguards

what am I missing?"
1,RT @Kschwenky: A Tesla to someone in a crosswalk
2,@RealTimers @kevinolearytv That's like saying your car has a V8 engine and a tank full of gas but then asking why the headlight is out.
3,"My Diamond Hands NFT got the the OG makeover. Plus I got a sneak peak at the bulls (claimable by diamond hands owners), and they're unreal. Artist @artbyyunglils is a true prodigy.
https://t.co/qZbwp9DsZL"
4,@IdontInvets There's a couple of central exchanges that are easy. Bridge across networks is incoming.
5,"RT @NancyTracker: While you lost money this week Nancy Pelosi was up 35%

https://t.co/7kuRTQ5E9h"
6,https://t.co/TVRs3X9sRo token continues to deliver on promises of utility and value. https://t.co/fDMRV0KeLR
7,"RT @OfficialTCGCoin: Live, Play &amp; Earn in #tcgworld the largest #metaverse on the #blockchain 🌎

Early gameplay footage 👇

#PlayToEarn #NFT…"
8,"@kencotto Dont forget, this is compounding interest. You'll reach your goals in no time."
9,"Why work for money when you can make money work for you?

Just logged into my boomer checking account to find this pleasant surprise. https://t.co/YVxzjikAyf"
0,@RyanZohoury @Tesla @TeslaCharging @BLKMDL3 We are waiting for permit approval from Santa Monica
1,@FutureIsTesla @michaelromose @spurtmagoo @SarahKSilverman @SenSanders I like to dig my grave real deep 🤣🤣
2,@michaelromose @spurtmagoo @SarahKSilverman @SenSanders Exactly
3,@business Burry is a broken clock
4,"@wapodavenport The hard work by FAA, US Fish &amp; Wildlife and Texas Parks &amp; Wildlife is much appreciated, as well as the strong local support from Cameron County and Brownsville / South Padre!"
5,"@BillyM2k Normal money is actually a bunch of ancient mainframes running cobol in batch mode, where govt can edit money database whenever they want"
6,@Paul49787221 @mooroobee @itsALLrisky @SenSanders Exactly
7,"@PPathole @teslaownersSV @Kristennetten @itsALLrisky @SenSanders Yes, that is the other major source of dilution. All employees receive stock after a year at Tesla and we now have over 100,000 employees worldwide."
8,@MyAlteredEgo @kedarus @CollegeChef1 @JoeyTParker @SenSanders That loophole does seem questionable
9,"@teslaownersSV @Kristennetten @itsALLrisky @SenSanders I had majority control for the first 5 years or so of Tesla, but car companies need lots of capital, so now I’m around 20% or so, despite putting in as much as I could along the way"
0,"An introduction to some of the cryptographic techniques used in Halo (going into #Zcash) and other recent protocols. No pairings, no trusted setups!

https://t.co/9po4BIbi2M"
