,Tweets
0," Accept worst case outcome &amp; assign it a probability, which is usually very low. Now think of good things in life &amp; assign them probabilities – many are certain!

Bringing anxiety/fear to the conscious mind saps it of limbic emotional strength.

Cheery fatalism is very effective."
1,"  Limiting factor for first launch is regulatory approval. Thereafter, fundamental issue is solving engine production.

Prototypes are easy, production is hard."
2,"_Gardi True, although it will look clean with close out panels installed. 

Raptor 2 has significant improvements in every way, but a complete design overhaul is necessary for the engine that can actually make life multiplanetary. It won’t be called Raptor."
3,12 million pounds of thrust at liftoff 
4,"  Indeed. Over time, Tesla will generate hundreds of billions for the government in terms of employee income tax, product sales tax and property tax, in addition to profit taxation."
5, Accurate thread
6,    We are waiting for permit approval from Santa Monica
7,     I like to dig my grave real deep 🤣🤣
8,    Exactly
9, Burry is a broken clock
0,"MtGox rehabilitation plan is now being finalized

Major win for all the OG crypto holders WGMI 💙"
1,"Fan Tokens have hit Binance's Launchad. 
The first two being Lazio and Porto Fan Token. 

But how do they work? How've they performed? And what teams could be next? 
Find out here 👇
 "
2,"KAKA NFT World is a metaverse gaming ecosystem composed of global and independent IP and NFTs.

Keep up with KAKA 👇 "
3, 
4, 
5,"""Crypto poses imminent threat to financial stability"" 

They say as they add trillions of dollars to the circulating supply of their fiat currency 😅"
6,_Shib  
7, 
8,"Unlike , it seems like twitter isn't interested in investing in Bitcoin quite yet.

Find out why, here: "
9,"🎉 Earn 20 USDT + Mint Limited Edition NFTs 

— HOW TO JOIN —
1️⃣ Register for _com: 
2️⃣ Participate in the Draw &amp; Earn campaign to win: 

🚀 ApolloX: The best crypto futures exchange with up to 100x leverage &amp; no KYC. "
0,"Show me the money!

 has raised $26 million aimed at advancing its proof-of-stake blockchain. "
1,"Another big name enters the metaverse! 

Crypto exchange  launches a $100 million metaverse fund for early-stage projects, including the development of blockchain-based games, nonfungible tokens, and decentralized applications. "
2,From a $715 million Bitcoin profit to a potential $220 million loss;  explains why BTC bulls are in troubled waters after the recent price dip. 
